type,id,name
survivor,invocation_weaving_spiders,呼び出し：網を張る蜘蛛
survivor,strength_in_shadows,影に潜む強み
survivor,wicked,邪気
survivor,bardic_inspiration,吟遊詩人の鼓舞
survivor,mirrored_illusion,幻影
survivor,still_sight,不動の視力
survivor,finesse,俊敏
survivor,hardened,強靭
survivor,specialist,スペシャリスト
survivor,eyes_of_belmont,ベルモンドの目
survivor,exultation,歓喜
survivor,moment_of_glory,栄光の瞬間
survivor,clean_break,決別
survivor,invocation_treacherous_crows,呼び出し：裏切り者のカラス
survivor,shoulder_the_burden,重責の引き受け
survivor,apocalyptic_ingenuity,終末世界の知恵
survivor,come_and_get_me,捕まえてみろ！
survivor,teamwork_toughen_up,チームワーク：強化
survivor,conviction,信念
survivor,last_stand,最後の抵抗
survivor,teamworkc_throw_down,チームワーク：挑戦
survivor,ghost_notes,ゴーストノート
survivor,one_two_three_four,ワンツースリーフォー！
survivor,road_life,路上生活
survivor,bada_bada_boom,ジャ・ジャ・ジャ・ジャーン
survivor,change_of_plan,作戦変更
survivor,teamwork_full_circuit,チームワーク：つながった回路
survivor,extrasensory_perception,ESP
survivor,teamwork_soft_spoken,みんなに見える
survivor,we_see_you,チームワーク：小さな声
survivor,a_place_for_us,秘密の場所
survivor,five_moves_ahead,先読み
survivor,flow_state,フロー状態
killer,agitation,興奮
killer,bamboozle,まやかし
killer,barbecue,バーベキュー＆チリ
killer,brutal_strength,野蛮な力
killer,call_of_brine,海の呼び声
killer,corrupt_intervention,堕落の介入
killer,deadlock,デッドロック
killer,discordance,不協和音
killer,enduring,我慢
killer,eruption,噴出
killer,hex_ruin,破滅
killer,hex_devour,貪られる希望
killer,hex_noed,誰も死から逃れられない
killer,hex_haunted,狩りの興奮
killer,jolt,ずさんな肉屋
killer,lethal_pursuer,死を呼ぶ追跡者
killer,monitor,観察＆虐待
killer,nurse_calling,看護婦の使命
killer,overcharge,オーバーチャージ
killer,pain_resonance,共鳴する苦痛
killer,pop_goes,イタチが飛び出した
killer,sloppy,ずさんな肉屋
killer,tinkerer,ガラクタいじり
killer,thanatophobia,タナトフォビア
killer,whispers,囁き
